Name,Sector,Employee count,Company Age(in years),Reviews Count,Highly Rated for,Critically Rated for,Overall Company Rating,Job Security Rating,Work-Life balance Rating,Company culture Rating,Skill development Rating,Work Satisfaction Rating,Salary & Benefits Rating,Promotions/Appraisal Rating
MSN Laboratories,Pharma , 10k-50k Employees , 21  ,1700.0,Job Security,Company Culture,3.8,4.0,3.4,3.3,3.5,3.4,3.5,3.5
Mahindra Holidays & Resorts,Hospitality , 5k-10k Employees , 28  ,1700.0,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",3.6,3.4,3.0,3.2,3.4,3.1,3.6,2.9
Foundever,BPO , 5k-10k Employees , 39  ,1700.0,Job Security,"Promotions / Appraisal, Salary & Benefits",3.7,3.8,3.7,3.6,3.6,3.5,3.3,3.1
ICICI Securities,Financial Services , 1k-5k Employees , 29  ,1700.0,Job Security,Promotions / Appraisal,3.9,3.9,3.6,3.5,3.7,3.4,3.6,3.4
Blinkit,Internet , 1k-5k Employees , 11  ,1700.0,,"Job Security, Promotions / Appraisal",3.8,3.1,3.5,3.5,3.7,3.4,3.7,3.3
Google,Internet , 10k-50k Employees , 29  ,1700.0,"Company Culture, Salary & Benefits, Work Life Balance",,4.4,4.2,4.4,4.4,4.3,4.3,4.4,4.2
Myntra,Internet , 1k-5k Employees , 17  ,1700.0,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,4.0,3.7,3.8,3.9,3.9,3.7,3.7,3.3
KPMG Global Services,Bangalore / Bengaluru +30 more, 10k-50k Employees ,Unknown,1700.0,Job Security,"Promotions / Appraisal, Work Satisfaction",3.7,3.8,3.5,3.6,3.6,3.3,3.4,3.2
Jindal Stainless,Iron & Steel , 1k-5k Employees , 54  ,1700.0,"Job Security, Skill Development / Learning, Work Life Balance",,4.2,4.2,3.9,3.8,4.0,3.8,3.8,3.6
JMC Projects,Engineering & Construction , 1k-5k Employees , 42  ,1700.0,"Job Security, Skill Development / Learning, Salary & Benefits",,4.2,4.0,3.8,3.9,4.0,3.8,4.0,3.8
Akums Drugs & Pharmaceuticals Limited,Pharma , 10k-50k Employees , 20  ,1700.0,"Job Security, Skill Development / Learning, Company Culture",,4.4,4.3,4.1,4.2,4.3,4.2,4.2,4.1
Planet Spark,EdTech , 51-200 Employees , 7  ,1700.0,Skill Development / Learning,Promotions / Appraisal,3.7,3.5,3.7,3.6,3.8,3.6,3.5,3.4
Rivigo,Internet , 1k-5k Employees , 10  ,1700.0,Skill Development / Learning,"Promotions / Appraisal, Job Security, Salary & Benefits",3.9,3.3,3.6,3.5,3.8,3.6,3.4,3.2
3i Infotech,IT Services & Consulting , 1k-5k Employees , 31  ,1700.0,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",3.6,3.5,3.4,3.3,3.3,3.3,3.2,2.9
Indian Railways,Railways , 1 Lakh+ Employees , 171  ,1700.0,"Job Security, Salary & Benefits, Skill Development / Learning",,4.1,4.1,3.9,3.8,3.9,3.8,3.9,3.5
Syngene International,Pharma , 1k-5k Employees , 31  ,1700.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,3.9,4.0,3.8,3.8,3.8,3.5,3.4,3.0
Pfizer,Pharma , 1k-5k Employees , 20  ,1700.0,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,4.1,3.6,4.0,4.0,4.0,3.7,3.8,3.3
upGrad,EdTech , 5k-10k Employees , 9  ,1700.0,"Salary & Benefits, Skill Development / Learning",,3.8,3.5,3.6,3.7,3.8,3.6,3.9,3.5
Cadila Pharmaceuticals,Pharma , 5k-10k Employees , 73  ,1700.0,,"Job Security, Promotions / Appraisal, Work Satisfaction",3.5,2.9,3.4,3.2,3.3,3.2,3.4,2.9
GlaxoSmithKline Pharmaceuticals,Pharma , 1k-5k Employees , 194  ,1700.0,"Company Culture, Skill Development / Learning, Work Life Balance",,4.2,3.8,4.1,4.1,4.1,3.9,4.0,3.5
Future Retail,Retail , 10k-50k Employees , 37  ,1700.0,"Skill Development / Learning, Company Culture, Work Satisfaction",,4.3,4.0,4.1,4.2,4.2,4.1,4.0,3.8
JCB,Industrial Machinery , 1k-5k Employees , 79  ,1700.0,"Work Life Balance, Company Culture",Promotions / Appraisal,4.0,3.5,3.8,3.8,3.7,3.7,3.7,3.3
Reliance Trends,Retail , 1 Lakh+ Employees , 18  ,1700.0,"Skill Development / Learning, Job Security, Company Culture",,4.3,4.3,4.0,4.2,4.4,4.0,4.0,3.8
Adani Power,Power , 1k-5k Employees , 18  ,1700.0,"Job Security, Skill Development / Learning, Salary & Benefits",,4.0,3.9,3.6,3.7,3.9,3.6,3.8,3.5
Fincare Small Finance Bank,Banking , 10k-50k Employees , 17  ,1700.0,"Job Security, Work Life Balance, Salary & Benefits",,4.1,3.9,3.9,3.8,3.8,3.7,3.8,3.7
Gallagher,Insurance , 10k-50k Employees , 97  ,1700.0,"Company Culture, Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",3.9,4.0,3.9,4.0,3.7,3.6,3.2,3.1
Whirlpool,Consumer Electronics & Appliances , 1k-5k Employees , 113  ,1700.0,"Work Life Balance, Company Culture, Job Security",,4.1,3.9,4.1,4.0,3.8,3.8,3.6,3.4
American Broadcasting Company,Mumbai +97 more, 10k-50k Employees ,Unknown,1700.0,"Work Life Balance, Salary & Benefits, Job Security",,4.0,3.8,3.9,3.8,3.8,3.8,3.9,3.8
Renault-Nissan,Automobile , 10k-50k Employees , 17  ,1600.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,4.2,4.0,3.9,3.9,3.9,3.8,3.5,3.3
Care Health Insurance,Internet , 5k-10k Employees , 12  ,1600.0,,"Promotions / Appraisal, Salary & Benefits, Company Culture",3.7,3.7,3.5,3.4,3.4,3.4,3.3,3.2
Raymond Lifestyle Limited,Fashion & Textile , 5k-10k Employees , 99  ,1600.0,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,4.1,3.9,4.0,3.9,3.8,3.8,3.8,3.4
Sobha,Real Estate , 1k-5k Employees , 29  ,1600.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,4.0,4.0,3.5,3.6,3.8,3.6,3.4,3.3
Bharat Petroleum,Oil & Gas , 5k-10k Employees , 72  ,1600.0,"Skill Development / Learning, Salary & Benefits, Job Security",,4.1,3.9,3.8,3.8,4.0,3.8,3.9,3.4
BHEL,Electrical Equipment , 10k-50k Employees , 60  ,1600.0,"Job Security, Work Life Balance, Company Culture",,4.2,4.2,4.0,3.9,3.9,3.9,3.8,3.5
Cisco,Hardware & Networking , 10k-50k Employees , 40  ,1600.0,"Work Life Balance, Company Culture, Skill Development / Learning",,4.3,3.8,4.3,4.3,4.0,3.9,4.0,3.6
Bharat Financial Inclusion,NBFC , 10k-50k Employees , 26  ,1600.0,"Salary & Benefits, Job Security, Company Culture",,4.0,3.9,3.6,3.8,3.8,3.6,4.1,3.7
IntouchCX,BPO , 5k-10k Employees , 23  ,1600.0,,"Promotions / Appraisal, Job Security, Work Satisfaction",3.0,2.7,2.8,2.8,2.9,2.7,2.8,2.5
Ambuja Cements,Building Material , 5k-10k Employees , 41  ,1600.0,,Promotions / Appraisal,3.9,3.4,3.5,3.5,3.6,3.5,3.6,3.2
Aavas Financiers,Financial Services , 5k-10k Employees , 13  ,1600.0,Skill Development / Learning,,3.9,3.7,3.6,3.6,3.8,3.6,3.6,3.5
Intellect Design Arena,FinTech , 5k-10k Employees , 13  ,1600.0,"Job Security, Company Culture, Skill Development / Learning",,4.0,4.2,3.8,3.8,3.8,3.8,3.8,3.7
Bharti AXA Life Insurance,Insurance , 1k-5k Employees , 18  ,1600.0,Work Life Balance,,3.9,3.6,3.8,3.7,3.7,3.6,3.7,3.5
Canara HSBC Life Insurance,Insurance , 5k-10k Employees , 16  ,1600.0,,,3.7,3.5,3.6,3.5,3.6,3.4,3.7,3.5
Sopra Steria,IT Services & Consulting , 5k-10k Employees , 56  ,1600.0,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,4.0,4.1,4.1,4.0,3.7,3.7,3.6,3.3
Endurance Technologies,Auto Components , 1k-5k Employees , 39  ,1600.0,,Promotions / Appraisal,3.9,3.5,3.6,3.5,3.7,3.5,3.5,3.3
Shahi Exports,Fashion & Textile , 1 Lakh+ Employees , 50  ,1600.0,"Job Security, Company Culture, Skill Development / Learning",,4.1,4.0,3.8,3.8,3.8,3.8,3.6,3.4
DBS Bank,Banking , 5k-10k Employees , 56  ,1600.0,"Salary & Benefits, Job Security",,3.9,3.8,3.6,3.7,3.7,3.5,3.9,3.4
GVK Emergency Management and Research Institute,Non-Profit , 10k-50k Employees , 19  ,1600.0,,"Promotions / Appraisal, Job Security, Salary & Benefits",3.7,3.2,3.4,3.3,3.5,3.4,3.3,3.1
RMSI,IT Services & Consulting , 1k-5k Employees , 32  ,1600.0,,"Promotions / Appraisal, Salary & Benefits",3.7,3.7,3.6,3.6,3.4,3.5,3.0,2.9
Kalyan Jewellers,Jewellery , 5k-10k Employees , 31  ,1600.0,"Company Culture, Skill Development / Learning, Salary & Benefits",,4.7,4.6,4.6,4.6,4.6,4.6,4.6,4.5
Force Motors,Automobile , 1k-5k Employees , 66  ,1600.0,,"Promotions / Appraisal, Company Culture, Salary & Benefits",3.6,3.5,3.5,3.1,3.4,3.3,3.2,3.0
Dhani Loans and Services,NBFC , 1k-5k Employees ,Unknown,1600.0,,"Job Security, Promotions / Appraisal",3.9,3.1,3.7,3.5,3.6,3.6,3.6,3.2
Allsec Technologies,BPO , 1k-5k Employees , 24  ,1600.0,"Job Security, Company Culture",Promotions / Appraisal,4.0,3.9,3.7,3.8,3.7,3.7,3.4,3.3
Bureau Veritas,Other , 1k-5k Employees , 196  ,1600.0,"Work Life Balance, Job Security",Promotions / Appraisal,4.0,3.8,3.8,3.7,3.7,3.7,3.5,3.2
Straive,Analytics & KPO , 10k-50k Employees , 44  ,1600.0,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",3.5,3.3,3.4,3.3,3.1,3.2,2.8,2.5
Cargill,Food Processing , 1k-5k Employees , 159  ,1500.0,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal,4.1,4.0,4.0,4.0,3.8,3.7,4.0,3.3
Meesho,Internet , 5k-10k Employees , 9  ,1500.0,Salary & Benefits,"Job Security, Promotions / Appraisal",3.7,3.2,3.6,3.6,3.6,3.5,3.8,3.3
ValueLabs,IT Services & Consulting , 5k-10k Employees , 27  ,1500.0,Salary & Benefits,,3.8,3.4,3.7,3.7,3.4,3.5,3.8,3.5
Tata Motors Finance,NBFC , 1k-5k Employees , 67  ,1500.0,"Company Culture, Job Security, Skill Development / Learning",Promotions / Appraisal,4.1,3.9,3.8,3.9,3.9,3.7,3.7,3.3
Adani Wilmar,FMCG , 1k-5k Employees , 25  ,1500.0,"Job Security, Skill Development / Learning, Company Culture",,4.2,4.2,3.8,3.8,3.9,3.8,3.8,3.5
Sterling & Wilson,Engineering & Construction , 501-1k Employees , 97  ,1500.0,"Work Life Balance, Company Culture, Skill Development / Learning",,4.1,3.8,3.9,3.9,3.8,3.8,3.7,3.4
Niva Bupa Health Insurance Company,Insurance , 5k-10k Employees , 16  ,1500.0,,"Promotions / Appraisal, Work Satisfaction, Job Security",3.7,3.4,3.5,3.4,3.5,3.4,3.6,3.2
Photon Interactive,IT Services & Consulting , 1k-5k Employees , 25  ,1500.0,"Skill Development / Learning, Salary & Benefits, Work Life Balance",,4.0,3.9,4.0,3.9,4.1,4.0,4.1,3.9
Renault Nissan Technology & Business Centre India,Automobile , 5k-10k Employees , 17  ,1500.0,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",3.8,4.1,4.0,3.7,3.6,3.5,3.3,3.1
Gabriel India,Auto Components , 1k-5k Employees , 63  ,1500.0,"Job Security, Skill Development / Learning, Company Culture",,4.2,4.3,3.9,4.2,4.2,3.8,3.7,3.6
